Alabama,4902439.024
Alaska,750000
Arizona,6939393.939
Arkansas,2933333.333
California,38864864.86
Colorado,5521739.13
Connecticut,3582366.589
Delaware,946808.5106
District Of Columbia,684729.064
Florida,20425531.91
Georgia,10317073.17
Hawaii,1500000
Idaho,1687500
Illinois,12827868.85
Indiana,6610000
Iowa,3096774.194
Kansas,2921052.632
Kentucky,4404761.905
Louisiana,4661392.405
Maine,1333333.333
Maryland,5984000
Massachusetts,6840125.392
Michigan,9939929.329
Minnesota,5593750
Mississippi,3000000
Missouri,6105263.158
Montana,1076923.077
Nebraska,1875000
Nevada,2907692.308
New Hampshire,1333333.333
New Jersey,8882456.14
New Mexico,2088235.294
New York,19615094.34
North Carolina,10185185.19
North Dakota,736842.1053
Ohio,11730769.23
Oklahoma,3953488.372
Oregon,4105263.158
Pennsylvania,12783582.09
Rhode Island,1055865.922
South Carolina,5000000
South Dakota,900000
Tennessee,6640000
Texas,27500000
Utah,3090909.091
Vermont,623188.4058
Virginia,8454545.455
Washington,7284210.526
West Virginia,1812500
Wisconsin,5720930.233
Wyoming,600000
